gene_product	ala__L_c	arg__L_c	asn__L_c	asp__L_c	cys__L_c	gln__L_c	glu__L_c	gly_c	his__L_c	ile__L_c	leu__L_c	lys__L_c	met__L_c	phe__L_c	pro__L_c	ser__L_c	thr__L_c	trp__L_c	tyr__L_c	val__L_c
b2134	41	15	18	12	1	10	8	12	7	13	31	21	15	10	16	23	24	2	9	22
b2135	16	6	6	2	3	3	6	18	7	12	31	2	7	11	7	11	11	7	10	19
b2136	14	11	3	5	1	10	3	22	7	14	30	11	3	9	8	5	7	6	6	17
b2137	33	10	9	16	3	11	14	23	7	18	24	10	8	8	11	12	13	3	2	18
b2139	72	26	24	23	2	42	23	29	7	22	55	18	11	10	16	26	29	9	10	23
b2140	28	21	12	16	6	19	22	23	6	18	34	14	6	5	15	13	11	8	8	30
b2141	9	4	2	1	3	6	3	10	1	12	20	4	4	7	6	9	3	3	6	19
b2142	32	8	4	3	4	4	5	18	3	24	31	6	10	11	12	16	12	3	6	19
b2143	47	11	11	17	5	13	13	20	9	13	39	10	6	11	16	19	14	3	9	8
b2144	19	17	7	14	2	13	8	15	3	16	31	11	7	10	13	9	10	2	15	17
b2145	8	5	2	2	1	2	2	6	0	8	4	4	3	10	4	1	0	3	5	9
b2146	46	20	13	20	13	24	30	35	7	26	34	19	5	15	18	19	28	1	8	31
b2147	30	15	17	20	18	14	31	39	9	28	32	24	16	15	19	23	19	4	12	26
b2148	35	6	17	7	2	7	5	38	0	39	39	11	8	21	7	21	19	3	16	35
b2149	24	26	25	26	3	19	34	42	12	50	52	34	20	15	14	36	30	4	10	30
b2150	49	6	23	31	0	15	12	22	4	16	27	33	9	8	10	14	13	5	7	28
b2151	48	21	19	21	4	15	13	21	10	23	31	9	15	6	13	21	18	2	8	28
b2152	38	25	9	11	4	15	6	35	5	23	74	8	9	22	13	18	16	18	14	22
b2153	18	13	9	12	2	9	13	9	10	16	23	11	8	7	8	13	20	0	4	17
b2154	28	12	11	19	6	15	12	18	9	11	26	8	9	12	20	18	12	8	13	11
b2155	36	38	41	54	4	19	37	59	9	25	48	34	7	23	27	56	50	17	28	51
b2156	49	17	15	12	3	11	14	53	5	46	52	14	16	35	19	29	29	15	22	33
b2157	27	24	7	12	3	14	22	17	10	18	41	5	6	8	15	20	11	3	7	23
b2158	46	5	7	6	3	10	6	30	8	33	47	14	10	19	12	24	21	7	7	34
b2159	38	14	10	19	6	12	20	20	12	22	23	13	5	14	7	13	17	4	6	10
b2160	36	21	17	23	6	15	19	26	13	22	43	9	9	11	11	23	20	3	9	26
b2161	58	10	13	8	2	7	12	44	3	42	49	13	14	28	15	29	19	5	8	37
b2162	25	10	14	21	7	10	16	31	6	28	24	12	14	9	20	7	23	2	8	26
b2163	17	13	8	11	5	11	12	10	8	11	34	12	5	13	7	13	8	2	10	9
b2164	58	9	12	8	2	8	12	44	1	48	46	13	17	30	16	34	15	4	9	30
b2165	39	10	12	9	2	13	24	27	5	26	28	16	6	11	14	19	20	1	3	27
b2166	33	9	25	17	7	9	16	26	5	20	29	11	8	7	9	28	11	6	10	27
b2167	100	14	9	15	6	10	23	64	6	40	62	31	24	16	32	22	32	4	13	40
b2168	30	18	11	17	4	11	19	29	4	15	30	12	8	13	13	21	16	7	2	32
b2169	55	15	16	29	0	21	21	32	7	15	48	17	8	9	8	18	24	2	2	29
b2170	45	18	11	8	7	7	9	34	6	28	52	9	20	31	14	25	22	7	9	31
b2171	11	12	5	15	0	6	16	14	1	11	18	12	8	6	10	7	14	1	9	14
b2172	48	27	17	32	8	29	26	33	20	31	50	16	12	16	23	27	20	9	7	37
b2173	29	21	14	21	5	16	19	26	11	19	49	13	3	5	17	18	16	8	2	16
b2174	16	10	11	10	1	5	3	15	4	21	36	11	10	20	12	13	10	7	3	19
b2175	12	18	10	6	2	9	10	15	3	10	13	9	5	6	5	22	9	2	7	15
b2176	41	26	20	29	5	18	27	25	10	34	65	23	16	24	28	23	37	11	16	40
b2177	56	38	35	41	0	26	26	28	4	28	53	33	15	32	37	38	29	20	33	32
b2178	28	18	11	17	0	5	10	34	5	38	45	10	7	28	15	24	19	7	16	27
b2179	25	20	16	13	3	11	7	29	2	19	56	7	7	22	18	28	14	14	9	21
b2180	37	40	18	16	4	43	32	33	18	34	79	14	10	12	27	35	28	0	8	41
b2181	9	4	8	5	5	5	7	7	1	4	12	4	2	6	9	11	2	2	3	8
b2183	19	16	6	17	2	10	16	16	11	11	22	9	4	6	13	7	16	2	7	21
b2184	54	47	14	38	12	31	35	41	22	29	62	27	9	30	27	16	30	6	17	39
b2185	11	6	3	5	0	5	7	5	3	7	5	11	3	4	4	2	2	0	3	8
b2186	30	23	16	20	2	17	32	21	5	11	45	13	5	17	8	20	19	2	11	18
b2187	9	3	6	3	0	6	5	1	2	5	10	3	3	1	3	7	3	0	1	4
b2188	41	43	30	29	0	33	21	31	14	35	72	12	15	33	24	42	41	15	22	33
b2190	79	27	66	54	1	30	39	105	12	41	59	31	22	27	13	65	78	10	29	75
b2192	28	26	15	14	1	22	23	16	14	17	32	19	15	14	12	16	17	6	7	12
b2193	21	16	8	18	0	10	15	14	3	13	30	7	6	6	6	14	7	0	2	19
b2194	38	25	14	17	2	23	21	22	2	17	38	13	14	8	17	19	14	5	14	27
b2195	17	9	9	11	2	9	11	15	2	11	26	11	3	5	11	6	5	6	7	9
b2196	70	38	19	17	4	7	20	55	8	31	98	13	24	39	27	42	33	25	18	59
b2197	12	11	7	7	1	6	13	14	3	8	16	8	5	3	9	7	6	1	7	15
b2198	13	6	1	0	0	6	3	3	2	2	5	0	4	5	2	2	2	2	1	10
b2199	27	15	5	5	1	8	4	18	5	21	31	6	12	10	11	13	10	17	7	19
b2200	28	9	1	6	0	5	5	16	3	15	51	2	10	10	16	10	11	5	2	15
b2201	19	17	7	9	2	16	12	18	7	10	31	3	3	5	6	8	18	5	2	9
b2202	11	13	11	10	8	7	13	15	9	9	11	16	10	9	8	8	11	5	5	11
b2203	12	7	6	6	5	9	6	12	5	4	7	7	6	4	12	10	11	2	5	13
b2204	19	20	7	12	13	6	7	23	8	13	40	7	7	12	13	20	17	11	4	28
b2205	25	19	8	11	16	9	14	21	4	8	23	10	3	6	12	11	10	1	4	16
b2206	78	48	38	45	12	33	54	65	17	32	64	55	22	38	49	35	41	20	28	54
b2207	6	2	3	3	2	8	11	4	2	5	6	1	1	1	3	9	5	1	1	13
b2208	18	12	9	6	16	8	7	11	5	10	10	3	2	6	9	14	7	3	5	3
b2209	14	5	5	9	2	6	12	9	1	6	15	16	5	4	9	7	10	3	8	16
b2210	55	26	24	25	0	31	35	41	8	21	51	32	18	19	24	40	30	10	13	45
b2211	53	31	20	22	0	22	32	34	12	31	92	21	15	27	19	27	32	12	14	31
b2212	22	13	8	13	4	13	7	17	7	9	23	8	5	11	18	9	9	4	7	9
b2213	49	33	11	17	12	22	21	19	8	13	34	14	6	12	15	18	21	5	6	18
b2214	30	14	10	22	1	21	21	27	7	18	32	21	11	9	17	25	23	6	9	27
b2215	29	13	32	32	0	21	11	48	1	10	27	17	4	19	4	17	24	4	29	25
b2216	61	50	50	61	4	49	58	41	19	55	118	35	23	27	31	60	60	10	22	56
b2217	15	6	12	14	0	4	12	13	3	20	29	20	6	6	10	18	9	1	4	14
b2218	66	65	47	53	14	41	58	54	15	57	114	36	28	34	42	71	45	10	27	72
b2219	48	41	32	28	1	38	36	38	12	61	72	14	15	12	24	34	40	5	18	39
b2220	39	36	19	24	5	20	39	25	12	40	53	20	18	15	18	22	22	4	6	24
b2221	14	13	6	13	2	7	13	26	4	17	27	6	7	6	10	7	22	1	1	18
b2222	26	12	7	14	5	7	10	24	6	12	22	7	11	6	9	5	12	2	1	18
b2223	49	14	11	11	3	11	11	41	6	38	50	10	27	33	27	25	24	9	8	32
b2224	67	14	16	15	5	18	18	44	6	25	39	18	12	10	11	22	19	0	6	29
b2225	20	12	12	15	0	14	15	22	5	15	19	8	7	8	14	22	17	4	10	19
b2226	50	36	14	26	8	35	28	34	10	14	65	22	6	14	28	34	52	16	20	37
b2229	14	12	14	9	4	19	6	15	5	11	21	6	8	8	9	11	10	8	7	10
b2230	49	20	22	34	2	39	27	36	11	21	71	27	15	26	30	45	26	12	18	31
b2231	77	66	31	63	4	25	81	66	16	67	77	43	21	16	31	34	47	3	24	83
b2232	19	9	10	11	3	8	19	23	11	9	22	16	8	8	11	8	11	4	6	24
b2233	100	28	88	118	4	71	44	155	18	57	94	18	20	31	31	111	110	16	42	94
b2234	62	40	35	51	11	33	46	48	20	50	75	42	16	28	31	49	39	5	41	39
b2235	22	17	17	25	5	23	32	13	8	28	37	16	9	17	13	26	20	7	16	25
b2236	8	6	1	3	7	5	8	6	2	6	9	1	2	1	4	3	4	1	2	5
b2237	21	18	7	9	3	6	19	12	9	11	12	16	7	8	7	8	5	6	12	20
b2238	4	2	1	0	2	5	6	5	0	6	12	4	3	3	5	4	2	0	1	3
b2239	26	10	17	31	1	16	23	24	10	17	29	32	15	14	16	12	19	4	20	22
b2240	45	17	13	14	7	10	14	47	7	31	49	16	22	33	24	20	15	15	22	31
b2241	59	48	18	32	14	17	36	46	14	37	54	14	8	9	21	26	36	6	8	39
b2242	40	23	13	17	10	30	22	40	9	19	59	9	7	15	26	23	18	9	2	28
b2243	30	23	15	20	18	15	20	25	8	20	41	27	6	12	23	19	30	5	13	26
b2244	17	23	6	20	4	18	25	11	10	20	36	8	10	14	13	15	23	3	11	12
b2245	34	15	9	16	2	15	13	22	3	17	26	9	7	5	14	16	10	4	10	20
b2246	59	19	10	10	1	15	11	39	4	27	62	11	12	30	15	19	31	11	9	34
b2247	28	16	13	24	10	14	22	41	15	20	32	20	16	15	20	23	23	8	13	28
b2248	26	19	9	12	6	12	15	15	6	20	36	8	3	4	9	21	15	5	8	11
b2249	38	27	14	14	5	20	32	28	10	13	53	8	13	19	19	27	24	6	3	27
b2250	19	5	13	9	0	3	7	31	1	7	16	6	5	4	6	14	8	2	12	12
b2251	8	12	4	10	3	5	15	10	1	11	15	7	3	4	5	3	8	3	6	8
b2252	19	10	9	15	5	7	5	11	7	13	21	17	2	8	5	14	13	2	6	11
b2253	50	21	11	16	4	18	23	27	14	29	37	14	11	11	19	15	29	6	10	20
b2254	24	24	11	13	4	11	21	21	10	30	32	9	12	15	12	21	17	2	11	22
b2255	53	45	28	35	11	20	43	48	27	52	63	25	9	28	35	36	27	10	23	42
b2256	28	23	11	16	5	12	18	28	11	19	29	11	5	9	13	12	14	11	4	17
b2257	54	25	15	18	7	18	16	38	8	38	73	19	13	35	28	28	28	28	24	37
b2258	14	2	0	2	2	2	1	10	3	7	29	5	7	7	4	11	5	5	5	7
b2259	7	3	4	5	5	4	5	4	2	3	9	10	3	1	2	7	2	2	2	8
b2260	41	28	14	17	7	27	30	36	12	14	60	12	9	13	25	23	21	17	6	39
b2261	36	24	7	22	5	14	24	20	2	12	41	10	6	7	19	15	15	9	6	26
b2262	28	17	12	22	8	15	14	28	5	15	20	16	12	11	11	9	11	4	10	17
b2263	34	18	9	15	5	13	12	22	9	7	30	4	4	12	9	13	7	5	7	17
b2264	64	35	16	26	7	36	31	40	19	28	68	13	8	14	33	30	27	17	9	35
b2265	46	34	15	25	6	32	25	22	11	18	57	14	7	15	20	22	25	11	7	19
b2266	11	8	1	11	0	5	6	7	1	2	12	7	1	1	2	7	3	1	6	9
b2267	9	6	4	12	3	11	12	10	7	10	16	5	3	4	6	7	5	3	6	14
b2268	29	14	8	17	6	11	18	31	12	20	37	12	4	11	17	14	21	2	7	14
b2269	23	13	37	20	7	20	29	13	12	28	47	32	6	13	12	34	20	3	17	17
b2270	62	27	31	34	1	45	37	35	4	38	51	39	11	16	28	40	24	7	17	28
b2271	30	13	14	22	0	16	11	19	8	24	27	11	9	12	23	24	14	3	20	23
b2272	9	11	7	13	0	5	15	13	4	12	24	7	7	8	4	11	8	2	3	4
b2273	18	15	10	19	3	12	23	9	9	20	30	13	5	11	4	3	10	5	6	13
b2274	3	4	9	11	4	4	15	5	5	12	8	1	3	6	12	9	8	7	1	13
b2275	24	13	14	21	8	16	18	16	5	16	27	12	4	16	17	13	13	7	11	11
b2276	55	14	13	11	1	11	9	45	7	30	87	8	19	25	21	37	16	9	21	46
b2277	45	12	8	9	3	20	13	46	11	40	76	13	26	40	22	31	26	17	16	35
b2278	69	16	20	14	3	11	15	59	15	33	99	15	29	38	18	33	33	16	19	58
b2279	12	6	4	2	0	5	3	9	2	11	20	0	5	3	1	6	2	1	2	6
b2280	22	6	4	4	1	4	11	16	4	19	25	5	6	9	5	9	6	2	6	20
b2281	12	13	4	9	9	4	18	14	1	10	15	11	6	8	13	5	8	2	9	9
b2282	30	10	9	8	3	12	10	26	4	26	41	8	16	30	15	19	12	10	8	28
b2283	97	63	38	55	16	44	57	75	26	45	69	31	22	32	41	48	43	12	29	65
b2284	38	28	20	17	9	10	38	48	7	22	48	25	12	19	25	19	23	10	11	16
b2285	16	8	5	9	5	10	15	11	9	13	11	7	4	5	10	5	8	1	5	9
b2286	39	43	18	38	4	19	40	42	19	32	57	24	21	32	37	25	37	12	20	37
b2287	13	16	11	13	5	11	14	15	1	11	14	9	12	6	14	10	9	4	10	22
b2288	17	13	4	3	2	1	7	11	2	11	15	2	5	12	3	13	5	5	3	13
b2289	34	19	13	19	4	12	17	12	5	13	43	9	11	8	20	23	14	3	11	22
b2290	32	21	18	27	5	15	23	27	10	32	42	22	11	14	24	22	13	6	16	25
b2291	23	10	9	10	2	9	19	4	7	10	25	12	7	9	7	13	5	1	6	11
b2292	58	35	16	20	6	10	24	53	5	41	78	14	36	32	31	38	26	6	10	71
b2293	31	11	5	9	3	6	16	17	8	13	24	8	3	6	14	9	11	3	1	18
b2294	12	15	10	7	2	11	14	8	6	10	13	3	11	6	3	5	10	3	9	6
b2295	13	10	4	6	1	8	5	9	1	5	20	9	4	10	12	7	8	5	4	10
b2296	42	15	18	19	6	8	29	36	15	25	42	23	10	13	12	25	21	1	13	27
b2297	76	43	32	37	6	28	48	45	7	43	65	28	19	17	37	50	51	3	14	65
b2298	45	21	17	15	2	15	16	50	6	43	52	9	22	37	18	29	34	10	8	57
b2299	20	13	5	9	5	9	25	10	4	6	14	6	5	7	5	7	10	4	2	14
b2300	17	6	12	8	1	10	10	14	9	10	23	5	5	7	13	9	4	2	3	16
b2301	24	14	3	13	1	12	16	10	5	11	26	8	4	10	12	14	9	7	5	10
b2302	19	14	10	9	1	10	15	16	8	13	26	8	3	8	14	10	9	7	8	7
b2303	10	10	9	8	0	5	9	1	5	14	10	6	2	2	2	5	8	2	4	8
b2304	23	22	12	13	4	11	18	29	9	18	39	8	5	6	18	13	14	7	5	23
b2305	22	21	5	22	3	15	21	11	10	19	38	13	13	11	15	15	14	2	11	15
b2306	15	15	10	8	1	17	22	21	9	13	30	16	8	9	9	17	9	1	3	24
b2307	24	12	6	3	3	4	9	13	5	23	33	7	4	16	9	14	19	5	14	15
b2308	19	10	5	5	1	7	8	27	1	20	30	6	8	15	6	11	15	2	9	23
b2309	26	9	9	18	2	12	18	21	1	15	23	24	4	14	9	17	14	1	8	15
b2310	34	8	5	26	2	10	9	21	1	11	24	25	4	12	6	22	13	2	10	15
b2311	18	14	2	12	2	10	7	11	6	13	25	3	5	5	8	13	13	1	3	18
b2312	47	39	31	36	7	19	34	35	10	42	38	17	12	22	19	23	20	1	17	36
b2313	14	7	2	6	3	4	5	12	1	16	18	3	1	17	2	17	7	4	5	18
b2314	28	6	6	10	0	8	15	19	1	7	18	20	4	3	31	8	10	0	5	21
b2315	54	23	10	24	3	11	27	34	12	21	44	16	7	11	20	29	23	8	9	36
b2316	31	20	7	12	6	9	26	22	3	13	30	19	17	10	21	20	10	2	4	22
b2317	21	9	7	8	1	2	7	16	8	22	29	8	7	17	7	7	9	2	10	22
b2318	31	20	11	15	3	12	13	16	11	10	20	11	6	9	15	10	14	5	12	26
b2319	41	15	12	18	2	18	30	27	2	15	35	9	6	16	15	21	12	4	6	33
b2320	37	25	10	27	6	8	22	31	10	17	50	20	4	13	19	16	19	3	9	32
b2321	28	17	13	10	0	38	14	18	7	15	54	12	10	4	26	25	19	5	5	11
b2322	54	14	4	3	3	9	6	56	5	19	56	9	12	23	16	22	22	9	9	41
b2323	48	17	13	20	6	11	25	49	10	24	27	16	17	13	12	32	23	2	10	31
b2324	72	35	27	39	15	48	36	46	18	16	77	21	13	34	37	36	31	15	17	35
b2325	12	3	1	8	0	7	8	6	4	5	11	1	3	3	1	9	4	1	1	4
b2326	17	10	9	14	5	9	14	8	7	10	11	4	2	13	12	6	6	4	10	11
b2327	29	9	8	6	4	9	4	32	3	19	42	10	14	18	8	17	9	2	7	19
b2328	21	15	5	17	6	19	8	20	9	13	30	13	7	9	24	20	15	6	2	15
b2329	31	26	8	29	4	16	19	40	8	29	26	16	9	11	17	18	21	2	7	24
b2330	25	17	14	27	5	9	23	17	9	23	30	9	8	11	18	14	11	5	11	24
b2331	15	10	1	8	3	14	15	9	11	7	22	15	4	7	12	6	7	2	4	11
b2332	14	6	13	13	8	11	12	19	5	15	19	12	12	6	15	29	19	7	15	23
b2333	18	5	13	9	2	8	6	18	1	7	18	8	5	9	4	14	14	1	4	15
b2334	13	6	6	14	3	5	9	9	4	10	14	7	2	8	8	10	20	2	4	8
b2335	15	4	16	8	4	8	5	15	0	8	16	7	6	5	7	15	11	1	3	16
b2336	16	11	18	11	3	12	9	10	1	12	25	18	9	9	21	23	16	3	5	18
b2339	21	2	14	13	2	6	5	17	1	11	9	13	6	11	3	11	26	1	5	10
b2340	15	5	7	7	5	5	12	11	2	5	21	4	6	4	10	13	10	2	2	15
b2341	75	44	20	30	9	35	44	69	13	52	68	40	16	24	38	32	37	2	13	53
b2342	63	31	10	19	2	18	23	39	9	19	46	13	16	13	19	25	28	3	8	32
b2343	10	5	2	7	7	2	10	3	0	4	6	3	4	5	3	8	9	0	1	5
b2344	50	15	33	25	0	22	13	45	5	21	31	14	7	25	16	39	32	12	23	18
b2345	16	14	35	32	3	12	27	20	10	35	21	27	3	14	10	25	14	2	16	16
b2346	15	14	13	18	1	13	10	27	4	8	26	5	9	15	16	13	13	4	12	15
b2347	32	12	15	13	1	8	24	23	6	30	29	16	16	15	10	14	15	8	4	19
b2349	33	24	15	21	2	12	27	23	7	27	31	37	12	13	16	19	15	9	15	27
b2350	15	3	4	2	3	1	0	7	2	6	10	6	5	14	2	8	11	2	5	14
b2351	19	16	12	16	0	3	22	23	3	34	27	23	7	16	13	16	14	7	10	25
b2352	17	8	20	19	8	7	13	15	8	50	52	32	10	44	9	45	22	1	36	27
b2353	14	6	1	10	1	6	7	3	2	8	10	4	4	0	6	7	12	3	3	7
b2354	17	3	7	9	0	9	14	8	1	9	11	8	3	3	12	8	6	5	8	5
b2355	17	7	7	8	4	9	6	19	1	9	19	7	3	8	11	12	8	1	5	11
b2356	11	3	7	7	2	2	6	6	2	2	9	5	1	5	6	2	4	4	4	3
b2357	16	23	6	6	4	8	13	10	5	3	12	4	3	6	8	14	7	2	5	9
b2358	8	10	4	7	5	5	10	4	1	5	8	8	3	3	7	10	5	6	6	7
b2359	7	7	5	6	0	4	12	13	2	6	12	9	3	3	4	7	10	0	2	8
b2360	32	15	15	23	2	8	20	13	3	21	24	18	5	18	7	16	16	2	2	14
b2361	16	8	5	13	4	4	11	8	6	12	17	10	8	11	11	10	5	1	8	10
b2362	12	5	8	4	2	3	13	9	1	4	11	7	4	5	6	3	5	7	2	9
b2363	6	10	3	7	0	4	14	4	1	8	7	6	5	4	1	5	5	3	3	5
b2364	25	20	13	14	5	16	19	15	15	18	38	10	6	9	12	24	19	8	8	17
b2365	48	7	10	8	6	5	12	39	9	46	69	15	21	23	19	25	30	4	9	40
b2366	47	18	10	22	5	24	27	46	12	18	48	20	13	19	18	28	20	4	15	28
b2367	32	16	21	13	8	14	12	38	2	50	71	11	19	34	25	50	42	11	12	31
b2368	39	15	27	19	0	22	20	17	6	27	31	24	11	6	14	31	27	4	13	34
b2369	16	8	14	14	3	7	11	13	3	25	17	17	6	7	4	14	7	0	7	11
b2370	82	40	76	59	12	61	73	52	41	89	140	63	24	42	55	90	75	14	41	68
b2371	30	15	17	20	6	18	20	34	11	25	36	16	15	16	24	23	20	2	11	22
b2372	41	10	12	7	4	2	8	21	4	27	42	10	7	23	14	23	17	4	8	30
b2373	66	26	29	33	4	26	24	48	11	43	50	21	19	15	29	32	32	4	15	37
b2374	37	16	15	24	7	20	27	37	11	28	35	22	11	15	24	19	25	7	13	23
b2375	35	6	10	12	0	15	16	10	1	10	19	19	8	3	5	10	11	2	6	13
b2376	6	3	4	1	1	2	6	3	2	5	10	6	5	6	8	9	8	0	2	4
b2377	6	3	3	0	3	1	1	9	0	7	10	0	7	7	1	4	3	2	4	9
b2378	23	28	13	7	4	11	20	24	5	11	27	14	19	17	15	14	13	10	11	20
b2379	43	32	10	25	4	10	26	28	11	28	29	20	14	16	25	20	16	5	17	33
b2380	44	30	25	21	11	19	33	39	18	69	62	25	12	18	21	30	26	6	13	43
b2381	14	12	11	13	3	13	21	4	8	21	22	14	7	17	10	13	13	4	7	17
b2382	20	21	12	9	5	20	11	17	8	11	40	6	8	18	21	20	9	4	8	17
b2383	79	50	32	43	12	56	59	50	16	56	104	26	16	28	37	60	39	8	18	42
b2384	34	26	7	25	6	17	20	29	7	17	37	8	12	8	14	19	20	3	3	33
b2385	37	22	7	17	3	25	26	31	10	22	37	9	6	9	12	20	23	5	11	29
b2386	55	9	9	8	0	12	6	42	2	39	45	17	20	29	24	29	24	10	8	27
b2387	18	3	3	5	2	7	14	5	2	13	6	5	4	2	2	4	6	0	2	5
b2388	32	15	11	15	6	3	22	35	12	24	33	16	6	15	13	15	12	3	8	25
b2389	56	13	9	8	4	12	7	40	11	34	64	6	20	15	32	20	17	7	2	41
b2390	8	17	5	10	0	1	4	13	9	3	7	5	2	3	2	2	2	8	7	0
b2392	52	15	9	9	0	18	8	36	9	32	60	11	17	19	14	24	23	8	9	39
b2393	39	11	17	7	1	10	17	31	3	39	51	15	18	31	7	37	11	3	11	41
b2394	48	35	10	23	5	8	23	29	8	17	47	15	7	13	14	21	19	8	6	14
b2395	46	39	28	26	15	37	31	41	17	51	118	25	20	45	26	41	38	16	26	43
b2398	7	10	3	3	0	7	11	11	1	5	14	7	2	1	7	5	8	2	2	8
b2399	14	12	7	5	2	6	14	7	1	10	9	8	5	5	5	2	8	2	2	6
b2400	41	32	20	34	7	18	39	28	19	26	38	24	12	15	20	19	23	8	18	30
b2405	24	27	9	8	1	14	23	15	7	15	35	6	16	12	17	13	15	4	7	26
b2406	43	10	11	14	4	8	8	30	7	28	47	15	25	39	15	34	19	9	14	38
b2407	27	11	10	11	6	8	16	27	8	17	27	12	10	16	13	15	13	0	6	24
b2408	17	8	18	16	0	4	12	30	8	10	16	14	4	22	3	14	20	9	22	7
b2409	29	24	7	17	3	22	17	21	7	18	39	8	6	7	16	21	11	3	5	27
b2410	32	11	10	7	6	11	7	23	7	24	46	13	13	23	13	24	14	9	4	35
b2411	68	46	20	34	8	21	65	51	16	31	68	32	10	26	30	30	35	4	9	67
b2412	34	17	9	20	0	35	20	15	13	15	19	12	13	10	41	16	6	1	7	25
b2413	21	12	6	8	3	9	4	14	2	18	33	8	12	20	17	11	14	14	10	17
b2414	32	13	14	11	1	9	28	32	3	27	32	23	6	8	15	19	22	2	5	21
b2415	9	1	2	1	0	6	9	6	2	3	8	7	2	4	2	6	10	0	0	7
b2416	63	31	17	39	4	21	60	36	8	51	58	35	18	18	15	26	29	2	9	35
b2417	7	3	4	13	0	1	17	16	2	19	12	17	3	8	7	10	11	0	0	19
b2418	27	12	10	19	2	14	13	18	5	17	37	12	5	6	12	20	16	3	9	26
b2419	12	5	6	6	2	4	8	6	4	11	13	11	3	3	5	6	9	0	3	7
b2420	15	5	10	22	5	12	19	14	7	15	20	23	13	13	8	13	9	5	9	7
b2421	28	20	13	13	2	11	24	35	4	19	24	11	13	7	14	17	19	3	6	20
b2422	32	31	8	19	0	24	24	27	14	15	42	11	7	15	19	16	18	5	7	31
b2423	23	12	10	7	1	14	14	21	5	20	47	5	12	16	14	14	13	9	6	28
b2424	33	12	5	4	2	8	12	17	1	14	43	5	7	21	12	21	18	7	7	28
b2425	31	11	23	21	0	17	17	24	5	12	33	28	5	16	14	19	20	7	11	24
b2426	32	16	8	18	4	4	17	24	3	21	22	12	9	4	11	16	16	1	4	21
b2427	28	15	7	11	3	19	19	15	4	19	34	19	6	8	2	33	20	1	5	17
b2428	35	14	13	13	7	10	20	31	4	22	24	15	8	4	8	16	18	0	5	31
b2429	59	14	16	13	7	16	9	58	7	34	65	12	17	29	25	20	24	7	9	33
b2430	30	12	22	23	1	21	15	38	11	19	38	27	16	15	25	29	35	6	20	31
b2431	29	17	9	20	4	10	25	29	10	12	25	16	7	15	9	14	15	4	7	22
b2432	14	9	10	15	4	7	8	18	1	9	13	11	9	6	7	19	10	6	3	12
b2433	13	11	4	4	2	4	5	9	4	6	32	2	1	9	7	5	6	8	4	13
b2434	6	12	7	11	2	2	16	13	4	8	15	5	6	4	5	3	2	2	6	12
b2435	31	16	11	14	0	8	12	21	13	16	28	29	4	11	9	25	18	1	3	19
b2436	23	24	9	19	4	12	21	29	10	7	21	10	7	22	17	11	11	8	13	21
b2437	26	22	15	13	4	25	25	19	16	14	42	11	10	14	16	18	22	9	8	21
b2438	26	15	4	11	2	5	10	12	3	5	21	6	5	3	8	7	7	2	1	13
b2439	42	9	7	13	2	6	9	14	4	12	19	4	6	5	15	15	13	1	8	15
b2440	35	21	7	13	8	12	23	20	3	15	26	14	8	3	16	19	17	2	5	28
b2441	45	22	27	31	9	17	27	38	5	31	38	18	13	18	13	23	27	2	15	34
b2451	50	23	10	23	5	25	21	43	10	30	56	10	7	15	29	25	30	3	8	44
b2452	52	7	13	9	4	7	16	49	2	40	46	15	33	25	20	15	13	3	6	33
b2453	59	16	9	17	10	16	15	34	11	20	43	10	15	10	18	28	30	2	4	28
b2454	29	14	4	18	4	13	17	26	10	14	26	9	5	8	14	14	18	6	4	25
b2455	70	22	22	20	5	20	27	36	9	27	39	21	13	11	20	19	30	3	0	53
b2456	7	2	2	6	3	5	4	11	5	7	7	4	3	1	3	6	4	1	0	14
b2457	16	5	1	5	2	2	6	12	2	6	9	5	4	1	3	4	3	0	0	11
b2458	52	21	9	12	6	20	20	23	6	16	38	9	9	11	23	19	11	2	4	27
b2459	23	21	4	17	4	18	19	10	11	13	38	9	5	6	15	17	15	4	2	16
b2460	21	8	4	12	2	11	20	19	4	15	15	13	10	11	10	19	15	4	2	18
b2461	14	6	6	12	0	8	11	11	6	7	16	9	4	6	7	8	12	1	5	10
b2462	13	3	1	5	1	3	8	13	3	9	13	6	4	3	4	5	7	0	2	8
b2463	87	38	30	42	9	24	54	52	12	54	65	40	26	27	46	34	29	1	17	72
b2464	31	18	9	18	4	17	27	16	7	20	31	22	5	11	14	17	13	4	10	22
b2465	76	27	25	33	4	23	49	63	26	36	57	38	16	23	35	31	35	12	22	36
b2466	34	28	16	22	6	11	19	22	3	15	44	13	7	12	21	19	23	11	4	17
b2467	8	10	10	12	2	7	20	15	4	15	21	11	4	6	3	7	14	1	8	13
b2468	70	41	25	34	28	31	43	54	27	33	44	27	17	19	34	29	31	7	9	56
b2469	48	36	32	19	4	40	37	27	18	30	85	13	15	16	21	44	28	5	17	31
b2470	107	47	42	47	4	55	47	81	11	56	110	35	40	50	43	67	64	11	30	90
b2471	9	8	7	9	2	2	7	6	2	7	14	7	4	5	4	5	9	3	4	4
b2472	40	22	19	19	5	20	24	29	11	19	35	8	11	17	18	14	21	6	5	32
